Name,lat,lng,nagoya,address
熱田神宮,35.1273705,136.90868,1,名古屋市熱田区神宮１丁目
名古屋城,35.1855784,136.89909,1,名古屋市中区本丸１－１
レゴランド,35.0506592,136.8436603,1,名古屋市港区金城ふ頭２－２－１
名古屋港水族館,35.0917379,136.8779712,1,名古屋市港区港町１－１
名古屋市市役所など,35.1814826,136.9073035,1,名古屋市中区三の丸３－１－１
ノリタケの森,35.1789135,136.8807018,1,名古屋市西区則武新町３－１
トヨタ産業記念館,35.1823719,136.8762623,1,名古屋市西区則武新町４－１
大須観音など,35.159189,136.904489,1,名古屋市中区大須２丁目２１
東山動植物園,35.1562968,136.9793026,1,名古屋市千種区東山元町３－７０
名古屋市科学館など,35.1650543,136.8997818,1,名古屋市中区栄２－１７－１
リニア・鉄道館,35.0489956,136.8510277,1,名古屋市港区金城ふ頭３丁目２－２
愛知県美術館,35.17093,136.911485,1,名古屋市東区東桜１－１３－２
徳川美術館,35.1836587,136.9331621,1,名古屋市東区徳川町１０１７
モリコロパーク,35.1718934,137.0898625,0,長久手市茨ケ廻間乙１５３３－１
トヨタ博物館,35.1727237,137.0580501,0,長久手市横道４１－１００
ラグーナテンボス,34.8081191,137.2701046,0,蒲郡市海陽町２丁目３
清洲城,35.2165584,136.8436053,0,清須市朝日城屋敷１－１
デンパーク,34.9299412,137.0612018,0,安城市赤松町梶１
明治村,35.3422146,136.9907568,0,犬山市内山１
犬山城,35.3883506,136.9392916,0,犬山市大字犬山字北古券６５－２
半田市,,,0,
岡崎市,,,0,
常滑市,,,0,
